"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.02284233532718e-220,2.52222122808062,0.273,0.054,2.8849268067903e-216,"2","Bcl2"
2.54869944550819e-220,2.25145536762293,0.291,0.061,7.18860678605586e-216,"2","Sept1"
3.32373927753902e-219,1.61811866983529,0.544,0.215,9.37460663229882e-215,"2","Gm12622"
3.99834377675478e-217,1.60879358932816,0.536,0.205,1.12773286223369e-212,"2","Rpl34"
1.43395456637038e-216,2.32635199495887,0.287,0.061,4.04446885444767e-212,"2","RP23-286M22.2"
3.87432318245403e-216,1.72323026237547,0.48,0.17,1.09275285361116e-211,"2","Gm11281"
8.63715661603248e-215,1.90769921902657,0.392,0.113,2.43611002355196e-210,"2","Gm10653"
9.54275557318964e-215,2.34844803456033,0.274,0.056,2.69153420941814e-210,"2","Rpl3-ps1"
1.27639104370566e-214,2.44523040364663,0.272,0.055,3.60006093877181e-210,"2","Gm17511"
3.53777922174231e-212,2.09664957289011,0.345,0.09,9.97830629492418e-208,"2","Rps7"
1.21461613989047e-208,1.67435266402215,0.449,0.152,3.42582482256108e-204,"2","Ms4a6c"
1.54910509736419e-207,1.88416141187777,0.391,0.116,4.36925092711571e-203,"2","Rps13-ps2"
1.71006523179828e-207,1.37499657239518,0.68,0.344,4.82323898628706e-203,"2","Rps25-ps1"
4.53870825095274e-206,2.09645509653111,0.322,0.08,1.28014266218122e-201,"2","Gm21960"
3.36003530417686e-205,1.60299125424751,0.483,0.173,9.47697957543083e-201,"2","Eef1g"
8.71142055210519e-205,1.73417284250122,0.428,0.138,2.45705616672127e-200,"2","Rps12"
2.82109287714986e-204,1.8973302921696,0.404,0.127,7.95689246000117e-200,"2","Gm15198"
2.34901633460786e-202,3.45154063380922,0.367,0.117,6.62540057176146e-198,"2","Igfbp4"
2.2860413877322e-200,1.41405206387934,0.566,0.239,6.44777973409867e-196,"2","Naca"
1.74717726054804e-199,1.77576930592538,0.424,0.139,4.92791346337575e-195,"2","Ccnd2"
8.06959732118951e-198,1.95085504596592,0.371,0.11,2.2760299244415e-193,"2","Gm12732"
2.18655406271709e-196,2.01878879932609,0.336,0.091,6.16717573389356e-192,"2","Gm8618"
8.76714666265575e-196,1.60761683381093,0.522,0.21,2.47277371620205e-191,"2","Rpl18a"
7.02845399866774e-194,1.55334721969788,0.494,0.186,1.98237545032424e-189,"2","Rpl36al"
2.64137759037868e-193,2.12084705792018,0.268,0.058,7.45000549366307e-189,"2","Cd2"
3.14773679816028e-193,2.23434903400962,0.299,0.074,8.87819163921106e-189,"2","Gm13777"
4.89812233080182e-193,1.7837521827881,0.438,0.155,1.38151540340265e-188,"2","Rps11-ps3"
1.81900019188244e-190,1.78385825429215,0.401,0.13,5.13049004120441e-186,"2","Gm14173"
2.47476988509958e-188,1.65868190118949,0.446,0.16,6.98008846092338e-184,"2","Gm6546"
5.42251134510367e-187,1.32875897499401,0.599,0.269,1.52941932488649e-182,"2","mt-Nd5"
1.03312539131449e-186,2.06998265042268,0.29,0.071,2.91393016620251e-182,"2","Gm16184"
1.35128582114898e-185,1.76306006504717,0.411,0.139,3.8113016585507e-181,"2","Gm10709"
2.71681005479464e-184,1.82830625332051,0.387,0.124,7.66276275954828e-180,"2","Gm10059"
8.51777542593573e-184,2.08722240896131,0.275,0.065,2.40243855888517e-179,"2","Gm15570"
1.72885586378269e-182,1.6823797185419,0.424,0.148,4.87623796379907e-178,"2","Gm12385"
1.0450867540245e-181,1.74849442291908,0.368,0.113,2.9476671897261e-177,"2","Gm7536"
1.09855312957044e-181,1.73665410698753,0.383,0.121,3.09846910195342e-177,"2","Rpl18a-ps1"
1.61971657073471e-181,2.08414290129505,0.304,0.08,4.56841058775725e-177,"2","Gm15032"
3.36688366243658e-175,1.2259499302405,0.627,0.305,9.49629536990238e-171,"2","Hsp90ab1"
5.48486397679142e-175,1.54406998735322,0.441,0.162,1.54700588465402e-170,"2","Eif3h"
1.76516499473254e-174,1.93114441998219,0.295,0.078,4.97864786764312e-170,"2","Gm5525"
8.08132019015363e-173,1.60736450921167,0.387,0.129,2.27933635963283e-168,"2","Gm13092"
3.61959149798741e-170,2.20902058685621,0.274,0.069,1.02090578200735e-165,"2","Rps16-ps2"
5.72737725596166e-170,1.54405147772058,0.459,0.182,1.61540675504399e-165,"2","Mbnl1"
2.47190874271453e-168,1.99959485614608,0.285,0.075,6.97201860882633e-164,"2","Gm15464"
4.67688433672413e-168,1.63265037338922,0.379,0.126,1.31911522717304e-163,"2","Gm4883"
4.91639897008962e-166,1.85061507375646,0.271,0.068,1.38667032951378e-161,"2","Spn"
4.85087513681774e-162,2.12424710679871,0.256,0.063,1.36818933233944e-157,"2","Gm12517"
